index|city|cost of living index|rent index|cost of living plus rent index|groceries index|restaurant price index|local purchasing power index
1|New York, NY|100.00|100.00|100.00|100.00|100.00|100.00
2|San Francisco, CA|93.90|107.26|100.28|98.11|91.25|134.10
3|Honolulu, HI|93.58|61.99|78.48|101.50|83.26|107.08
4|Arlington, VA|93.51|67.87|81.25|99.70|79.99|110.11
5|Anchorage, AK|92.80|39.43|67.29|96.60|82.16|135.91
6|Brooklyn, NY|90.72|81.19|86.17|86.43|94.95|93.33
7|Santa Rosa, CA|89.62|57.36|74.20|87.28|82.63|110.73
8|Washington, DC|88.83|70.02|79.84|90.04|86.46|132.85
9|Charleston, SC|88.19|45.57|67.82|93.33|75.74|105.75
10|Berkeley, CA|87.22|77.67|82.65|85.40|87.31|119.62
11|Seattle, WA|84.40|63.83|74.57|82.53|80.64|140.85
12|Jersey City, NJ|83.90|60.99|72.95|88.99|82.80|118.31
13|Boston, MA|83.59|75.33|79.64|82.81|83.83|119.26
14|Oakland, CA|82.09|75.85|79.11|80.60|78.44|135.29
15|Hartford, CT|80.98|39.14|60.98|88.48|72.42|83.43
16|Philadelphia, PA|80.22|46.91|64.30|78.42|77.40|113.55
17|Albany, NY|79.63|31.23|56.50|80.83|77.37|108.78
18|Long Beach, CA|79.32|54.20|67.31|79.13|76.67|126.62
19|Irvine, CA|79.03|65.29|72.46|77.37|74.43|137.97
20|Miami, FL|78.59|56.24|67.90|74.90|82.13|89.77
21|Los Angeles, CA|78.26|70.57|74.59|74.21|83.19|110.43
22|Boulder, CO|78.13|52.51|65.88|81.85|63.83|113.41
23|Sacramento, CA|77.72|43.92|61.56|73.20|77.62|137.60
24|Chicago, IL|77.37|53.50|65.96|72.84|77.75|133.09
25|Greenville, SC|77.18|33.77|56.43|83.32|77.69|113.25
26|Burlington, VT|77.10|41.81|60.23|75.78|79.40|74.43
27|San Jose, CA|76.69|75.37|76.06|72.32|82.50|170.92
28|Everett, WA|76.19|43.54|60.59|73.67|76.02|116.90
29|Birmingham, AL|76.14|33.58|55.80|76.86|71.04|102.31
30|Pittsburgh, PA|75.90|38.17|57.87|72.58|70.66|113.23
31|Minneapolis, MN|75.41|46.27|61.48|72.08|77.51|132.47
32|Baltimore, MD|74.89|41.23|58.80|71.28|77.93|123.58
33|Portland, OR|74.86|50.03|62.99|72.01|70.22|124.88
34|Charlotte, NC|74.79|41.30|58.78|72.81|76.42|143.59
35|Rochester, NY|74.75|30.26|53.49|79.64|72.05|85.49
36|Santa Barbara, CA|74.58|64.86|69.93|68.04|90.60|125.12
37|West Palm Beach, FL|74.22|40.91|58.30|71.32|81.43|117.97
38|Tacoma, WA|74.06|39.06|57.33|72.63|69.94|126.59
39|Portland, ME|73.37|42.85|58.78|73.05|79.63|120.83
40|Bellingham, WA|73.22|34.19|54.56|71.95|71.71|114.50
41|San Diego, CA|72.89|60.61|67.02|65.57|79.57|138.81
42|Saint Paul, MN|72.34|42.44|58.05|71.97|69.90|126.74
43|Atlanta, GA|72.06|46.29|59.74|67.31|72.88|151.16
44|Asheville, NC|72.03|36.81|55.19|73.61|70.78|102.10
45|Eugene, OR|72.01|30.42|52.13|78.02|67.45|97.61
46|Saint Petersburg, FL|71.81|40.43|56.81|68.02|72.03|122.70
47|Buffalo, NY|71.31|29.01|51.09|63.98|74.14|109.17
48|Peoria, IL|71.15|25.09|49.13|71.78|65.20|112.74
49|Austin, TX|70.54|48.97|60.23|67.60|76.26|150.18
50|Cleveland, OH|70.33|28.54|50.36|64.12|69.84|110.36
51|Jacksonville, FL|70.28|30.64|51.33|69.53|69.23|130.73
52|Milwaukee, WI|70.13|35.46|53.56|65.53|76.47|105.05
53|Denver, CO|69.89|53.62|62.12|68.46|70.40|134.54
54|Indianapolis, IN|69.66|34.35|52.78|66.83|71.61|105.80
55|Arlington, TX|69.62|30.88|51.11|66.61|62.53|138.72
56|Ann Arbor, MI|69.36|46.83|58.59|64.01|64.81|128.58
57|Raleigh, NC|68.98|36.24|53.33|73.66|65.85|162.87
58|Orlando, FL|68.89|38.52|54.37|67.93|68.73|130.17
59|Tampa, FL|68.85|38.84|54.51|68.02|69.34|141.52
60|Nashville, TN|67.90|47.95|58.37|63.23|77.34|143.47
61|Saint Louis, MO|67.86|28.70|49.14|64.10|71.09|147.35
62|Syracuse, NY|67.81|33.47|51.40|65.32|66.83|92.53
63|Salem, OR|67.74|28.56|49.01|65.26|67.23|120.51
64|Kansas City, MO|67.62|31.52|50.36|60.78|74.97|132.93
65|Spokane, WA|67.49|28.11|48.67|62.09|68.27|119.11
66|Bakersfield, CA|67.44|28.69|48.92|64.85|68.57|149.54
67|Columbus, OH|67.18|36.23|52.39|60.77|66.54|130.32
68|Tallahassee, FL|67.18|26.26|47.62|73.79|57.90|128.42
69|Memphis, TN|66.83|26.15|47.39|61.41|68.01|125.55
70|Las Vegas, NV|66.81|29.31|48.89|59.90|71.75|140.54
71|Columbia, SC|66.76|28.23|48.35|67.56|66.85|115.87
72|Dallas, TX|66.35|43.36|55.36|61.55|69.78|152.47
73|Phoenix, AZ|66.03|34.28|50.85|58.75|75.39|138.15
74|Detroit, MI|65.93|34.71|51.01|62.03|61.39|93.98
75|Greensboro, NC|65.87|26.99|47.29|66.59|62.69|128.82
76|Richmond, VA|65.74|34.49|50.80|63.23|68.47|126.73
77|Cincinnati, OH|65.70|31.54|49.37|64.38|61.58|128.18
78|Fort Worth, TX|65.63|35.11|51.04|57.82|69.37|136.81
79|Fresno, CA|65.49|30.46|48.75|60.24|74.04|110.94
80|Grand Rapids, MI|65.45|30.84|48.91|61.15|68.16|122.69
81|Tucson, AZ|65.28|23.72|45.41|55.29|65.49|119.00
82|Fremont, CA|64.54|74.31|69.21|52.28|70.07|171.22
83|Riverside, CA|64.34|46.16|55.65|63.85|59.95|123.05
84|Tulsa, OK|64.31|25.23|45.63|64.00|62.53|126.92
85|Albuquerque, NM|64.29|27.01|46.47|65.36|62.88|124.35
86|Chattanooga, TN|63.98|29.39|47.44|58.90|60.85|126.07
87|Louisville, KY|63.85|26.00|45.76|58.87|69.49|117.95
88|Salt Lake City, UT|63.59|36.20|50.50|58.18|65.64|149.47
89|Houston, TX|63.36|41.96|53.13|56.55|75.16|149.52
90|Oklahoma City, OK|63.28|26.19|45.55|61.98|56.68|129.97
91|Des Moines, IA|63.28|32.53|48.58|59.57|65.44|125.37
92|Fayetteville, AR|63.18|26.48|45.64|62.36|68.46|110.74
93|Madison, WI|62.95|36.55|50.33|56.65|65.50|141.98
94|Wichita, KS|61.82|24.17|43.82|56.79|62.46|135.75
95|San Antonio, TX|61.44|31.93|47.34|58.35|58.74|142.63
96|Knoxville, TN|61.38|28.07|45.46|61.23|59.22|114.08
97|Vancouver, WA|61.00|34.93|48.54|54.27|61.02|149.13
98|Toledo, OH|60.78|21.54|42.03|52.96|57.15|121.64
99|Reno, NV|59.99|36.76|48.89|52.98|62.35|138.80
100|Little Rock, AR|59.88|25.33|43.36|56.51|62.80|141.19
101|Boise, ID|59.83|30.53|45.82|51.88|65.63|118.52
102|Huntsville, AL|59.56|28.24|44.59|59.43|58.86|159.29
103|El Paso, TX|58.64|21.91|41.09|53.79|59.10|130.22
104|Lexington, KY|57.26|25.18|41.93|51.47|57.54|142.77
